date,sentences_about_victims,total_sentences,pct_coverage
2016-01-01T00:00:00Z,0,2892488,0.0000000000
2016-01-08T00:00:00Z,0,3286743,0.0000000000
2016-01-15T00:00:00Z,0,1078092,0.0000000000
2016-01-22T00:00:00Z,0,1265641,0.0000000000
2016-01-29T00:00:00Z,3,3593360,0.0000008349
2016-02-05T00:00:00Z,64,3564811,0.0000179533
2016-02-12T00:00:00Z,30,3175370,0.0000094477
2016-02-19T00:00:00Z,23,3559343,0.0000064619
2016-02-26T00:00:00Z,138,3477043,0.0000396889
2016-03-04T00:00:00Z,58,3046595,0.0000190376
2016-03-11T00:00:00Z,6,3082348,0.0000019466
2016-03-18T00:00:00Z,38,2909594,0.0000130602
2016-03-25T00:00:00Z,1,2719368,0.0000003677
2016-04-01T00:00:00Z,4,2875591,0.0000013910
2016-04-08T00:00:00Z,3,2944256,0.0000010189
2016-04-15T00:00:00Z,0,2830447,0.0000000000
2016-04-22T00:00:00Z,21,3056347,0.0000068709
2016-04-29T00:00:00Z,18,3226199,0.0000055793
2016-05-06T00:00:00Z,6,3060772,0.0000019603
2016-05-13T00:00:00Z,0,2761328,0.0000000000
2016-05-20T00:00:00Z,37,2723956,0.0000135832
2016-05-27T00:00:00Z,11,2384899,0.0000046124
2016-06-03T00:00:00Z,18,2684799,0.0000067044
2016-06-10T00:00:00Z,0,2675435,0.0000000000
2016-06-17T00:00:00Z,10,2448098,0.0000040848
2016-06-24T00:00:00Z,5,2528986,0.0000019771
2016-07-01T00:00:00Z,9,2302405,0.0000039090
2016-07-08T00:00:00Z,0,1665365,0.0000000000
2016-07-15T00:00:00Z,0,0,0
2016-07-22T00:00:00Z,0,0,0
2016-07-29T00:00:00Z,0,0,0
2016-08-05T00:00:00Z,0,0,0
2016-08-12T00:00:00Z,0,0,0
2016-08-19T00:00:00Z,0,0,0
2016-08-26T00:00:00Z,0,0,0
2016-09-02T00:00:00Z,0,0,0
2016-09-09T00:00:00Z,0,0,0
2016-09-16T00:00:00Z,0,0,0
2016-09-23T00:00:00Z,0,0,0
2016-09-30T00:00:00Z,0,0,0
2016-10-07T00:00:00Z,0,0,0
2016-10-14T00:00:00Z,0,0,0
2016-10-21T00:00:00Z,0,0,0
2016-10-28T00:00:00Z,0,0,0
2016-11-04T00:00:00Z,0,0,0
2016-11-11T00:00:00Z,0,0,0
2016-11-18T00:00:00Z,0,0,0
2016-11-25T00:00:00Z,0,0,0
2016-12-02T00:00:00Z,0,0,0
2016-12-09T00:00:00Z,0,0,0
2016-12-16T00:00:00Z,0,0,0
2016-12-23T00:00:00Z,0,0,0
2016-12-30T00:00:00Z,0,0,0
