date,sentences_about_victims,total_sentences,pct_coverage
2014-01-01T00:00:00Z,0,1343604,0.0000000000
2014-01-08T00:00:00Z,6,1689554,0.0000035512
2014-01-15T00:00:00Z,0,1617111,0.0000000000
2014-01-22T00:00:00Z,2,1736343,0.0000011518
2014-01-29T00:00:00Z,0,1797807,0.0000000000
2014-02-05T00:00:00Z,17,1628643,0.0000104381
2014-02-12T00:00:00Z,4,1691682,0.0000023645
2014-02-19T00:00:00Z,8,1732927,0.0000046165
2014-02-26T00:00:00Z,7,1812913,0.0000038612
2014-03-05T00:00:00Z,1,1807781,0.0000005532
2014-03-12T00:00:00Z,0,1842706,0.0000000000
2014-03-19T00:00:00Z,0,1746979,0.0000000000
2014-03-26T00:00:00Z,11,1786731,0.0000061565
2014-04-02T00:00:00Z,0,1861133,0.0000000000
2014-04-09T00:00:00Z,0,2008285,0.0000000000
2014-04-16T00:00:00Z,0,1933331,0.0000000000
2014-04-23T00:00:00Z,0,2084368,0.0000000000
2014-04-30T00:00:00Z,11,2088366,0.0000052673
2014-05-07T00:00:00Z,16,2310816,0.0000069240
2014-05-14T00:00:00Z,8,2210628,0.0000036189
2014-05-21T00:00:00Z,1,2083606,0.0000004799
2014-05-28T00:00:00Z,4,2198766,0.0000018192
2014-06-04T00:00:00Z,0,2112730,0.0000000000
2014-06-11T00:00:00Z,1,2277660,0.0000004390
2014-06-18T00:00:00Z,5,2261988,0.0000022104
2014-06-25T00:00:00Z,5,2272289,0.0000022004
2014-07-02T00:00:00Z,10,2202073,0.0000045412
2014-07-09T00:00:00Z,2,2247856,0.0000008897
2014-07-16T00:00:00Z,417,2319768,0.0001797594
2014-07-23T00:00:00Z,316,2214249,0.0001427120
2014-07-30T00:00:00Z,34,2242628,0.0000151608
2014-08-06T00:00:00Z,1474,2220663,0.0006637657
2014-08-13T00:00:00Z,8223,2255003,0.0036465583
2014-08-20T00:00:00Z,3061,2245334,0.0013632716
2014-08-27T00:00:00Z,90,2072515,0.0000434255
2014-09-03T00:00:00Z,4,2343804,0.0000017066
2014-09-10T00:00:00Z,64,2363533,0.0000270781
2014-09-17T00:00:00Z,52,2405388,0.0000216181
2014-09-24T00:00:00Z,18,2252326,0.0000079917
2014-10-01T00:00:00Z,12,2289398,0.0000052416
2014-10-08T00:00:00Z,371,2260029,0.0001641572
2014-10-15T00:00:00Z,34,2337422,0.0000145459
2014-10-22T00:00:00Z,1,2347297,0.0000004260
2014-10-29T00:00:00Z,0,2298845,0.0000000000
2014-11-05T00:00:00Z,0,2221838,0.0000000000
2014-11-12T00:00:00Z,12,2114757,0.0000056744
2014-11-19T00:00:00Z,426,2142190,0.0001988619
2014-11-26T00:00:00Z,466,1864026,0.0002499965
2014-12-03T00:00:00Z,396,2034272,0.0001946642
2014-12-10T00:00:00Z,28,1984342,0.0000141105
2014-12-17T00:00:00Z,0,1889279,0.0000000000
2014-12-24T00:00:00Z,6,1400030,0.0000042856
2014-12-31T00:00:00Z,2,1606050,0.0000012453
